Company Name,Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...) ",Columbia school?,Which Specific Columbia Program?,Source,Notes
JERA Co.,"JERA Co., Inc.","1,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
JERA Co.,"JERA Co., Inc.","1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
JERA Co.,"JERA Co., Inc.","100,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/," annual commitment of $100,000 or more."
Koch,Charles Koch Foundation,"33,000.00",2022,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/480918408/202333199349104183/full,
Koch,Koch Foundation,"250,000.00",2019,Donation/grant,SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
Koch,Koch Foundation,"5,000.00",2015,,Trustees of Columbia University,,https://docs.google.com/spreadsheets/d/1c8h3cx5PouCV62KhG624NaIwR4ROfULjYF7yWOWXk8A/edit#gid=0,
Koch,Koch Foundation,"5,000.00",2016,,Trustees of Columbia University,,https://docs.google.com/spreadsheets/d/1c8h3cx5PouCV62KhG624NaIwR4ROfULjYF7yWOWXk8A/edit#gid=1,
Koch,Koch Foundation,"36,850.00",2017,,Trustees of Columbia University,,https://docs.google.com/spreadsheets/d/1c8h3cx5PouCV62KhG624NaIwR4ROfULjYF7yWOWXk8A/edit#gid=1,
Koch,Koch Foundation,"703,914.00",2018,,Trustees of Columbia University,,https://docs.google.com/spreadsheets/d/1c8h3cx5PouCV62KhG624NaIwR4ROfULjYF7yWOWXk8A/edit#gid=1,
Koch,Koch Foundation,"930,835.00",2019,,Trustees of Columbia University,,https://docs.google.com/spreadsheets/d/1c8h3cx5PouCV62KhG624NaIwR4ROfULjYF7yWOWXk8A/edit#gid=1,
Koch,Koch Foundation,"1,530,540.00",2020,,Trustees of Columbia University,,https://www.documentcloud.org/documents/21116137-2020-charles-koch-foundation-990,
Koch,Koch Foundation,"660,000.00",2021,,Trustees of Columbia University,,https://charleskochfoundation.org/app/uploads/2022/11/Charles-Koch-Foundation-Form-990-PF-2021-Public-Disclosure-Copy.pdf,
NextEra,NextEra,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
NextEra,NextEra,"5,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
NextEra,NextEra,"5,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
NRG,NRG,"1,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
NRG,NRG,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
NRG,NRG,"5,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
NRG,NRG,"5,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
NRG,"NRG Energy, Inc","1,000.00",2020,Donation/grant (Sustaining Annual Circle Member),SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
Occidental Petroleum,Occidental Petroleum Corporation,"1,000,000.00",2019,Donation/grant,SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
Occidental Petroleum,Occidental Petroleum Corporation,"200,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2021-2022. Chose 200,000/yr as lower bound"
Occidental Petroleum,Occidental Petroleum Corporation,"200,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2021-2022. Chose 200,000/yr as lower bound"
Occidental Petroleum,Occidental Petroleum Corporation,"333,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 333,000/yr as lower bound"
Occidental Petroleum,Occidental Petroleum Corporation,"333,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 333,000/yr as lower bound"
Occidental Petroleum,Occidental Petroleum Corporation,"333,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 333,000/yr as lower bound"
ONEOK,"ONEOK, Inc.","250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
ONEOK,"ONEOK, Inc.","250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Petrobras,Petroleo Brasileiro S.A.,"25,000.00",2018,,Climate School,,https://people.climate.columbia.edu/projects/view/736,
Petromarker,Petromarker,"25,000.00",2018,,Climate School,,https://people.climate.columbia.edu/projects/view/737,
Pioneer Natural Resources,Pioneer Natural Resources,"25,000.00",2014,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/460-02535_sipa-ar_nj_v10/62,
Pioneer Natural Resources,Pioneer Natural Resources,"25,000.00",2017,,SIPA,,https://web.archive.org/web/20190130071315/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-2016-2017.pdf,
Pioneer Natural Resources,Pioneer Natural Resources,"100,000.00",2018,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
Pioneer Natural Resources,Pioneer Natural Resources,"100,000.00",2019,,SIPA,,https://web.archive.org/web/20220812033654/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2018-2019.pdf,
Pioneer Natural Resources,Pioneer Natural Resources,"1,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
Pioneer Natural Resources,Pioneer Natural Resources,"1,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
Pioneer Natural Resources,Pioneer Natural Resources,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
Pioneer Natural Resources,Pioneer Natural Resources Company,"1,000.00",2020,Donation/grant (Sustaining Annual Circle Member),SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
Schlumberger,Schlumberger Limited,"1,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
Sempra,Sempra,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
Sempra,Sempra,"100,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $100,000 or more."
Sempra,Sempra,"100,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/," annual commitment of $100,000 or more."
Sempra,Sempra Foundation,250.00,2018,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/261325469/12_2019_prefixes_23-26%2F261325469_201812_990PF_2019123116986534,
Sempra,Sempra Foundation,100.00,2021,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/261325469/202223199349104187/full,
Sempra,Sempra Foundation,200.00,2022,,Barnard College,,https://projects.propublica.org/nonprofits/organizations/261325469/202313059349100436/full,
Sempra,Sempra Energy Foundation,"1,350.00",2014,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/261325469/12_2019_prefixes_23-26%2F261325469_201812_990PF_2019123116986534,
Sempra,Sempra Energy Foundation,"1,000.00",2015,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/261325469/12_2019_prefixes_23-26%2F261325469_201812_990PF_2019123116986534,
Sempra,Sempra Energy Foundation,"1,250.00",2016,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/261325469/12_2019_prefixes_23-26%2F261325469_201812_990PF_2019123116986534,
Sempra,Sempra Energy Foundation,"1,850.00",2018,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/261325469/12_2019_prefixes_23-26%2F261325469_201812_990PF_2019123116986534,
Shell,Royal Dutch Shell,"616,967.00",2018,,Climate School,,https://people.climate.columbia.edu/projects/view/737,
Shell,Royal Dutch Shell plc,"125,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Shell,Royal Dutch Shell plc,"125,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Shell,Royal Dutch Shell plc,"125,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Shell,Royal Dutch Shell plc,"125,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2022. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Shell,Shell plc,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Shell,Shell plc,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Shell,Shell Usa Company Foundation,350.00,2012,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/display_990/136066583/2014_01_PF%2F13-6066583_990PF_201212,
Shell,Shell Usa Company Foundation,650.00,2013,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201423179349100512/full,
Shell,Shell Usa Company Foundation,750.00,2014,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201532899349100503/full,
Shell,Shell Usa Company Foundation,550.00,2015,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201633079349100433/full,
Shell,Shell Usa Company Foundation,200.00,2016,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201733129349100138/full,
Shell,Shell Usa Company Foundation,"1,500.00",2017,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201823049349100202/full,
Shell,Shell Usa Company Foundation,"2,850.00",2018,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/201903109349100200/full,
Shell,Shell Usa Company Foundation,"7,065.00",2019,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/202023169349100202/full,
Shell,Shell Usa Company Foundation,"3,050.00",2020,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/202133159349100603/full,
Shell,Shell Usa Company Foundation,"1,500.00",2021,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/202223149349100917/full,
Shell,Shell USA Company Foundation,"3,836.00",2022,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/202323139349100302/full,
Shell,Shell USA Company Foundation,750.00,2022,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/136066583/202323139349100302/full,
Sumitomo,Sumitomo Corporation of Americas Foundation,"600,000.00",2021,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/202103634/202200359349100805/full,
Sumitomo,Sumitomo Corporation of Americas Foundation,"200,000.00",2023,,Trustees of Columbia University,,https://projects.propublica.org/nonprofits/organizations/202103634/202333049349100408/full,
Tellurian,Tellurian,"125,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2021. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Tellurian,Tellurian Inc.,"125,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20180620165843/http://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2021. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Tellurian,Tellurian Inc.,"125,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2021. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Tellurian,Tellurian Inc.,"125,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2021. Chose 500,000 total for the 4 years as lower bound (125,000/yr)"
Tellurian,Tellurian Inc.,"333,333.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 1,000,000 total for the 3 years as lower bound (333,333/yr)"
Tellurian,Tellurian Inc.,"333,333.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 1,000,000 total for the 3 years as lower bound (333,333/yr)"
Tellurian,Tellurian Inc.,"333,333.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual or aggregate committment of 1,000,000 from 2022-2024. Chose 1,000,000 total for the 3 years as lower bound (333,333/yr)"
Tellurian,"Tellurian, Inc.","100,000.00",2017,,SIPA,,https://web.archive.org/web/20190130071315/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-2016-2017.pdf,
Tokyo Gas Company,"Tokyo Gas Company, Ltd.","100,000.00",2015,,SIPA,,https://issuu.com/columbiauniversitysipa/docs/sipa_annual_report_2014_2015,
Tokyo Gas Company,"Tokyo Gas Company, Ltd.","100,000.00",2017,,SIPA,,https://web.archive.org/web/20190130071315/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-2016-2017.pdf,
Tokyo Gas Company,"Tokyo Gas Company, Ltd.","100,000.00",2018,,SIPA,,https://web.archive.org/web/20191224033634/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2017-2018.pdf,
Tokyo Gas Company,"Tokyo Gas Company, Ltd.","100,000.00",2019,,SIPA,,https://web.archive.org/web/20220812033654/https://sipa.columbia.edu/sites/default/files/SIPA-Annual-Report-2018-2019.pdf,
TotalEnergies,Total S.A.,"166,666.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2021. Chose 500,000 total for the 3 years as lower bound (166,666/yr)"
TotalEnergies,Total S.A.,"166,666.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2021. Chose 500,000 total for the 3 years as lower bound (166,666/yr)"
TotalEnergies,Total S.A.,"166,666.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of 200,000 or aggregate committment of 500,000 from 2019-2021. Chose 500,000 total for the 3 years as lower bound (166,666/yr)"
TotalEnergies,Total S.A.,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
TotalEnergies,TotalEnergies,"250,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
TotalEnergies,TotalEnergies,"250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Valero,Valero Energy Foundation,500.00,2005,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2006_11_PF%2F74-2904514_990PF_200512,
Valero,Valero Energy Foundation,"1,000.00",2006,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2007_11_PF%2F74-2904514_990PF_200612,
Valero,Valero Energy Foundation,"1,500.00",2007,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2008_11_PF%2F74-2904514_990PF_200712,
Valero,Valero Energy Foundation,"2,500.00",2008,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2009_11_PF%2F74-2904514_990PF_200812,
Valero,Valero Energy Foundation,"2,500.00",2009,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2010_12_PF%2F74-2904514_990PF_200912,
Valero,Valero Energy Foundation,"2,500.00",2010,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2011_11_PF%2F74-2904514_990PF_201012,
Valero,Valero Energy Foundation,"2,500.00",2011,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2012_11_PF%2F74-2904514_990PF_201112,
Valero,Valero Energy Foundation,"2,500.00",2014,,Barnard College,,https://projects.propublica.org/nonprofits/display_990/742904514/2015_08_PF%2F74-2904514_990PF_201409,
Venture,"Venture Global LNG, Inc.","250,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $250,000 or more."
Vistra Corp,Vistra,"1,000.00",2022,,SIPA,CGEP,https://web.archive.org/web/20220831234051/https://www.energypolicy.columbia.edu/partners,"annual commitment of $1,000 or more."
Vistra Corp,Vistra Corp,"1,000.00",2020,Donation/grant (Sustaining Annual Circle Member),SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
Vistra Corp,Vistra Energy,"5,000.00",2023,,SIPA,CGEP,https://web.archive.org/web/20231005152943/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
Vistra Corp,Vistra Energy,"5,000.00",2024,,SIPA,CGEP,https://web.archive.org/web/20240801004845/https://www.energypolicy.columbia.edu/about-us/our-partners/,"annual commitment of $5,000 or more and participate in a regular roundtable discussion"
Wintershall,Wintershall Holding GmbH,"200,000.00",2018,,SIPA,CGEP,https://web.archive.org/web/20180620165843/http://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2019. Chose 200,000/yr as lower bound"
Wintershall,Wintershall Holding GmbH,"200,000.00",2019,,SIPA,CGEP,https://web.archive.org/web/20190415230731/https://energypolicy.columbia.edu/about/mission,"annual commitment of 200,000 or aggregate committment of 500,000 from 2018-2019. Chose 200,000/yr as lower bound"
Woodside Energy,Woodside Energy Ltd.,"25,000.00",2018,,Climate School,,https://people.climate.columbia.edu/projects/view/739,
WPX,WPX Energy Inc.,"1,000.00",2020,Donation/grant (Sustaining Annual Circle Member),SIPA,CGEP,https://littlesis.org/org/162243-Columbia_University_Center_on_Global_Energy_Policy,
WPX,"WPX Energy, Inc./Devon","1,000.00",2020,,SIPA,CGEP,https://web.archive.org/web/20201001210441/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
WPX,"WPX Energy, Inc./Devon","1,000.00",2021,,SIPA,CGEP,https://web.archive.org/web/20210604103628/https://www.energypolicy.columbia.edu/about/partners,"annual commitment of $1,000 or more."
